VENDING MACHINE LOG
11 Feb 2019 21:43:08 GMT		FEED MONEY:	 $0.00	$100.00
11 Feb 2019 21:43:13 GMT		Potato Crisps	A1	 $100.00	$96.95
11 Feb 2019 21:43:15 GMT		Stackers	A2	 $96.95	$95.50
11 Feb 2019 21:43:17 GMT		Grain Waves	A3	 $95.50	$92.75
11 Feb 2019 21:43:20 GMT		Cloud Popcorn	A4	 $92.75	$89.10
11 Feb 2019 21:43:22 GMT		Moonpie	B1	 $89.10	$87.30
11 Feb 2019 21:43:24 GMT		Cowtales	B2	 $87.30	$85.80
11 Feb 2019 21:43:26 GMT		Wonka Bar	B3	 $85.80	$84.30
11 Feb 2019 21:43:29 GMT		Crunchie	B4	 $84.30	$82.55
11 Feb 2019 21:43:32 GMT		Cola	C1	 $82.55	$81.30
11 Feb 2019 21:43:34 GMT		Dr. Salt	C2	 $81.30	$79.80
11 Feb 2019 21:43:37 GMT		Mountain Melter	C3	 $79.80	$78.30
11 Feb 2019 21:43:39 GMT		Heavy	C4	 $78.30	$76.80
11 Feb 2019 21:43:43 GMT		U-Chews	D1	 $76.80	$75.95
11 Feb 2019 21:43:45 GMT		Little League Chew	D2	 $75.95	$75.00
11 Feb 2019 21:43:47 GMT		Chiclets	D3	 $75.00	$74.25
11 Feb 2019 21:43:53 GMT		Triplemint	D4	 $74.25	$73.50
11 Feb 2019 21:43:59 GMT		Grain Waves	A3	 $73.50	$70.75
11 Feb 2019 21:44:02 GMT		Wonka Bar	B3	 $70.75	$69.25
11 Feb 2019 21:44:04 GMT		Dr. Salt	C2	 $69.25	$67.75
11 Feb 2019 21:44:08 GMT		Little League Chew	D2	 $67.75	$66.80
11 Feb 2019 21:44:15 GMT		Cloud Popcorn	A4	 $66.80	$63.15
11 Feb 2019 21:44:38 GMT		Cola	C1	 $63.15	$61.90
11 Feb 2019 21:44:42 GMT		Chiclets	D3	 $61.90	$61.15
11 Feb 2019 21:44:46 GMT		Grain Waves	A3	 $61.15	$58.40
11 Feb 2019 21:44:50 GMT		Wonka Bar	B3	 $58.40	$56.90
11 Feb 2019 21:44:56 GMT		Mountain Melter	C3	 $56.90	$55.40
11 Feb 2019 21:45:01 GMT		Triplemint	D4	 $55.40	$54.65
11 Feb 2019 21:45:08 GMT		Potato Crisps	A1	 $54.65	$51.60
11 Feb 2019 21:45:13 GMT		Wonka Bar	B3	 $51.60	$50.10
11 Feb 2019 21:45:17 GMT		Mountain Melter	C3	 $50.10	$48.60
11 Feb 2019 21:45:30 GMT		U-Chews	D1	 $48.60	$47.75
11 Feb 2019 21:45:36 GMT		Potato Crisps	A1	 $47.75	$44.70
11 Feb 2019 21:45:41 GMT		Wonka Bar	B3	 $44.70	$43.20
11 Feb 2019 21:45:46 GMT		Dr. Salt	C2	 $43.20	$41.70
11 Feb 2019 21:45:51 GMT		Chiclets	D3	 $41.70	$40.95
11 Feb 2019 21:45:53 GMT		GIVE CHANGE	 $40.95	$0.00
11 Feb 2019 21:46:17 GMT		Restocked by user
